ride_id,train_name,origin_station,destination_station,departure_time_origin,day_of_week,hour_of_day,delay_at_dest
-1029224351861462659-2504210740,ICE 2570,Frankfurt(Main)Hbf,Kassel-Wilhelmshöhe,2025-04-21 07:40:00,0,7,1
-1029224351861462659-2504210740,ICE 2570,Frankfurt(Main)Hbf,Göttingen,2025-04-21 07:40:00,0,7,1
-1029224351861462659-2504210740,ICE 2570,Frankfurt(Main)Hbf,Hildesheim Hbf,2025-04-21 07:40:00,0,7,1
-1029224351861462659-2504210740,ICE 2570,Frankfurt(Main)Hbf,Braunschweig Hbf,2025-04-21 07:40:00,0,7,0
-1029224351861462659-2504210740,ICE 2570,Frankfurt(Main)Hbf,Wolfsburg Hbf,2025-04-21 07:40:00,0,7,1
-1029224351861462659-2504210740,ICE 2570,Frankfurt(Main)Hbf,Berlin-Spandau,2025-04-21 07:40:00,0,7,-3
-1029224351861462659-2504210740,ICE 2570,Frankfurt(Main)Hbf,Berlin Hbf,2025-04-21 07:40:00,0,7,-3
-1029224351861462659-2504210740,ICE 2570,Frankfurt(Main)Hbf,Berlin Ostbahnhof,2025-04-21 07:40:00,0,7,1
-1029224351861462659-2504210740,ICE 2570,Kassel-Wilhelmshöhe,Göttingen,2025-04-21 09:49:00,0,9,1
-1029224351861462659-2504210740,ICE 2570,Kassel-Wilhelmshöhe,Hildesheim Hbf,2025-04-21 09:49:00,0,9,1
-1029224351861462659-2504210740,ICE 2570,Kassel-Wilhelmshöhe,Braunschweig Hbf,2025-04-21 09:49:00,0,9,0
-1029224351861462659-2504210740,ICE 2570,Kassel-Wilhelmshöhe,Wolfsburg Hbf,2025-04-21 09:49:00,0,9,1
-1029224351861462659-2504210740,ICE 2570,Kassel-Wilhelmshöhe,Berlin-Spandau,2025-04-21 09:49:00,0,9,-3
-1029224351861462659-2504210740,ICE 2570,Kassel-Wilhelmshöhe,Berlin Hbf,2025-04-21 09:49:00,0,9,-3
-1029224351861462659-2504210740,ICE 2570,Kassel-Wilhelmshöhe,Berlin Ostbahnhof,2025-04-21 09:49:00,0,9,1
-1029224351861462659-2504210740,ICE 2570,Göttingen,Hildesheim Hbf,2025-04-21 10:09:00,0,10,1
-1029224351861462659-2504210740,ICE 2570,Göttingen,Braunschweig Hbf,2025-04-21 10:09:00,0,10,0
-1029224351861462659-2504210740,ICE 2570,Göttingen,Wolfsburg Hbf,2025-04-21 10:09:00,0,10,1
