ride_id,train_name,station,destination_station,departure_time_origin,day_of_week,hour_of_day,delay_at_dest,time_hour,time,temp_celsius,humidity,wind_speed,weather,rain_amount,snow_amount
-1029224351861462659-2504180740,ICE 2570,Hildesheim Hbf,Berlin-Spandau,2025-04-18 10:37:00,4,10,19,2025-04-18 10:00:00,2025-04-18 10:00:00,8.45,100.0,3.82,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Hildesheim Hbf,Berlin Hbf,2025-04-18 10:37:00,4,10,18,2025-04-18 10:00:00,2025-04-18 10:00:00,8.45,100.0,3.82,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Hildesheim Hbf,Berlin Südkreuz,2025-04-18 10:37:00,4,10,16,2025-04-18 10:00:00,2025-04-18 10:00:00,8.45,100.0,3.82,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Braunschweig Hbf,Wolfsburg Hbf,2025-04-18 11:03:00,4,11,9,2025-04-18 11:00:00,2025-04-18 11:00:00,9.0,92.0,3.6,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Braunschweig Hbf,Berlin-Spandau,2025-04-18 11:03:00,4,11,19,2025-04-18 11:00:00,2025-04-18 11:00:00,9.0,92.0,3.6,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Braunschweig Hbf,Berlin Hbf,2025-04-18 11:03:00,4,11,18,2025-04-18 11:00:00,2025-04-18 11:00:00,9.0,92.0,3.6,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Braunschweig Hbf,Berlin Südkreuz,2025-04-18 11:03:00,4,11,16,2025-04-18 11:00:00,2025-04-18 11:00:00,9.0,92.0,3.6,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Wolfsburg Hbf,Berlin-Spandau,2025-04-18 11:20:00,4,11,19,2025-04-18 11:00:00,2025-04-18 11:00:00,8.95,99.0,3.68,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Wolfsburg Hbf,Berlin Hbf,2025-04-18 11:20:00,4,11,18,2025-04-18 11:00:00,2025-04-18 11:00:00,8.95,99.0,3.68,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Wolfsburg Hbf,Berlin Südkreuz,2025-04-18 11:20:00,4,11,16,2025-04-18 11:00:00,2025-04-18 11:00:00,8.95,99.0,3.68,overcast clouds,0.0,0.0
-1029224351861462659-2504180740,ICE 2570,Berlin-Spandau,Berlin Hbf,2025-04-18 12:24:00,4,12,18,2025-04-18 12:00:00,2025-04-18 12:00:00,7.6,98.0,5.61,overcast clouds,0.0,0.0
